date,type_raw,collected_kg,material_std,recovery_rate,recovered_kg
2012-01-01,msw,17340.0,MSW,0.1,1734.0
2012-01-02,msw,25980.0,MSW,0.1,2598.0
2012-01-03,msw,29220.0,MSW,0.1,2922.0
2012-01-04,msw,7450.0,MSW,0.1,745.0
2012-01-05,msw,10520.0,MSW,0.1,1052.0
2012-01-06,msw,29260.0,MSW,0.1,2926.0
2012-01-07,msw,11820.0,MSW,0.1,1182.0
2012-01-08,msw,20680.0,MSW,0.1,2068.0
2012-01-09,msw,23940.0,MSW,0.1,2394.0
2012-01-10,msw,23330.0,MSW,0.1,2333.0
2012-01-11,msw,21590.0,MSW,0.1,2159.0
2012-01-12,msw,25340.0,MSW,0.1,2534.0
2012-01-13,msw,22270.0,MSW,0.1,2227.0
2012-01-14,msw,15710.0,MSW,0.1,1571.0
2012-01-15,msw,11870.0,MSW,0.1,1187.0
2012-01-16,msw,23560.0,MSW,0.1,2356.0
2012-01-17,msw,22890.0,MSW,0.1,2289.0
2012-01-18,msw,27120.0,MSW,0.1,2712.0
2012-01-19,msw,30750.0,MSW,0.1,3075.0
2012-01-20,msw,20460.0,MSW,0.1,2046.0
2012-01-21,msw,17470.0,MSW,0.1,1747.0
2012-01-22,msw,10640.0,MSW,0.1,1064.0
2012-01-23,msw,21490.0,MSW,0.1,2149.0
2012-01-24,msw,16470.0,MSW,0.1,1647.0
2012-01-25,msw,21840.0,MSW,0.1,2184.0
2012-01-26,msw,32950.0,MSW,0.1,3295.0
2012-01-27,msw,25050.0,MSW,0.1,2505.0
2012-01-28,msw,17420.0,MSW,0.1,1742.0
2012-01-29,msw,11400.0,MSW,0.1,1140.0
2012-01-30,msw,22230.0,MSW,0.1,2223.0
2012-01-31,msw,22400.0,MSW,0.1,2240.0
2012-02-01,msw,17780.0,MSW,0.1,1778.0
2012-02-02,msw,29190.0,MSW,0.1,2919.0
2012-02-03,msw,24360.0,MSW,0.1,2436.0
2012-02-04,msw,27120.0,MSW,0.1,2712.0
2012-02-05,msw,42200.0,MSW,0.1,4220.0
2012-02-06,msw,7420.0,MSW,0.1,742.0
2012-02-07,msw,25930.0,MSW,0.1,2593.0
2012-02-08,msw,35470.0,MSW,0.1,3547.0
2012-02-09,msw,11740.0,MSW,0.1,1174.0
2012-02-10,msw,32830.0,MSW,0.1,3283.0
2012-02-11,msw,34760.0,MSW,0.1,3476.0
2012-02-12,msw,7300.0,MSW,0.1,730.0
2012-02-13,msw,21390.0,MSW,0.1,2139.0
2012-02-14,msw,24330.0,MSW,0.1,2433.0
2012-02-15,msw,30060.0,MSW,0.1,3006.0
2012-02-16,msw,32760.0,MSW,0.1,3276.0
2012-02-17,msw,30310.0,MSW,0.1,3031.0
2012-02-18,msw,17980.0,MSW,0.1,1798.0
2012-02-19,msw,12360.0,MSW,0.1,1236.0
2012-02-20,msw,19970.0,MSW,0.1,1997.0
2012-02-21,msw,24880.0,MSW,0.1,2488.0
2012-02-22,msw,32840.0,MSW,0.1,3284.0
2012-02-23,msw,23340.0,MSW,0.1,2334.0
2012-02-24,msw,23580.0,MSW,0.1,2358.0
2012-02-25,msw,13570.0,MSW,0.1,1357.0
2012-02-26,msw,7470.0,MSW,0.1,747.0
2012-02-27,msw,24290.0,MSW,0.1,2429.0
2012-02-28,msw,33100.0,MSW,0.1,3310.0
2012-02-29,msw,29940.0,MSW,0.1,2994.0
2012-03-01,msw,30020.0,MSW,0.1,3002.0
2012-03-02,msw,22590.0,MSW,0.1,2259.0
2012-03-03,msw,15700.0,MSW,0.1,1570.0
2012-03-04,msw,26990.0,MSW,0.1,2699.0
2012-03-05,msw,37440.0,MSW,0.1,3744.0
2012-03-06,msw,21330.0,MSW,0.1,2133.0
2012-03-07,msw,24420.0,MSW,0.1,2442.0
2012-03-08,msw,18020.0,MSW,0.1,1802.0
2012-03-09,msw,30020.0,MSW,0.1,3002.0
2012-03-10,msw,31170.0,MSW,0.1,3117.0
2012-03-11,msw,34820.0,MSW,0.1,3482.0
2012-03-12,msw,24110.0,MSW,0.1,2411.0
2012-03-13,msw,30190.0,MSW,0.1,3019.0
2012-03-14,msw,27770.0,MSW,0.1,2777.0
2012-03-15,msw,27160.0,MSW,0.1,2716.0
2012-03-16,msw,24740.0,MSW,0.1,2474.0
2012-03-17,msw,13850.0,MSW,0.1,1385.0
2012-03-18,msw,6580.0,MSW,0.1,658.0
2012-03-19,msw,28260.0,MSW,0.1,2826.0
2012-03-20,msw,22660.0,MSW,0.1,2266.0
2012-03-21,msw,28270.0,MSW,0.1,2827.0
2012-03-22,msw,26820.0,MSW,0.1,2682.0
2012-03-23,msw,26250.0,MSW,0.1,2625.0
2012-03-24,msw,19170.0,MSW,0.1,1917.0
2012-03-25,msw,8920.0,MSW,0.1,892.0
2012-03-26,msw,26270.0,MSW,0.1,2627.0
2012-03-27,msw,30050.0,MSW,0.1,3005.0
2012-03-28,msw,28410.0,MSW,0.1,2841.0
2012-03-29,msw,29450.0,MSW,0.1,2945.0
2012-03-30,msw,22790.0,MSW,0.1,2279.0
2012-03-31,msw,20560.0,MSW,0.1,2056.0
2012-04-01,msw,35210.0,MSW,0.1,3521.0
2012-04-02,msw,14470.0,MSW,0.1,1447.0
2012-04-03,msw,11380.0,MSW,0.1,1138.0
2012-04-04,msw,24370.0,MSW,0.1,2437.0
2012-04-05,msw,36350.0,MSW,0.1,3635.0
2012-04-06,msw,8200.0,MSW,0.1,820.0
2012-04-07,msw,41000.0,MSW,0.1,4100.0
2012-04-08,msw,24010.0,MSW,0.1,2401.0
2012-04-09,msw,13120.0,MSW,0.1,1312.0
2012-04-10,msw,25290.0,MSW,0.1,2529.0
2012-04-11,msw,16600.0,MSW,0.1,1660.0
2012-04-12,msw,34750.0,MSW,0.1,3475.0
2012-04-13,msw,8940.0,MSW,0.1,894.0
2012-04-14,msw,3810.0,MSW,0.1,381.0
2012-04-15,msw,10750.0,MSW,0.1,1075.0
2012-04-16,msw,19090.0,MSW,0.1,1909.0
2012-04-17,msw,31020.0,MSW,0.1,3102.0
2012-04-18,msw,31470.0,MSW,0.1,3147.0
2012-04-19,msw,33350.0,MSW,0.1,3335.0
2012-04-20,msw,30740.0,MSW,0.1,3074.0
2012-04-21,msw,23160.0,MSW,0.1,2316.0
2012-04-22,msw,8110.0,MSW,0.1,811.0
2012-04-23,msw,26720.0,MSW,0.1,2672.0
2012-04-24,msw,14320.0,MSW,0.1,1432.0
2012-04-25,msw,33520.0,MSW,0.1,3352.0
2012-04-26,msw,34100.0,MSW,0.1,3410.0
2012-04-27,msw,41100.0,MSW,0.1,4110.0
2012-04-28,msw,28350.0,MSW,0.1,2835.0
2012-04-29,msw,5570.0,MSW,0.1,557.0
2012-04-30,msw,29830.0,MSW,0.1,2983.0
2012-05-01,msw,28590.0,MSW,0.1,2859.0
2012-05-02,msw,10280.0,MSW,0.1,1028.0
2012-05-03,msw,26560.0,MSW,0.1,2656.0
2012-05-04,msw,23800.0,MSW,0.1,2380.0
2012-05-05,msw,11480.0,MSW,0.1,1148.0
2012-05-06,msw,36710.0,MSW,0.1,3671.0
2012-05-07,msw,31880.0,MSW,0.1,3188.0
2012-05-08,msw,9740.0,MSW,0.1,974.0
2012-05-09,msw,28260.0,MSW,0.1,2826.0
2012-05-10,msw,27110.0,MSW,0.1,2711.0
2012-05-11,msw,29740.0,MSW,0.1,2974.0
2012-05-12,msw,27620.0,MSW,0.1,2762.0
2012-05-13,msw,11680.0,MSW,0.1,1168.0
2012-05-14,msw,24510.0,MSW,0.1,2451.0
2012-05-15,msw,29740.0,MSW,0.1,2974.0
2012-05-16,msw,25230.0,MSW,0.1,2523.0
2012-05-17,msw,30690.0,MSW,0.1,3069.0
2012-05-18,msw,26930.0,MSW,0.1,2693.0
2012-05-19,msw,18030.0,MSW,0.1,1803.0
2012-05-20,msw,4870.0,MSW,0.1,487.0
2012-05-21,msw,29960.0,MSW,0.1,2996.0
2012-05-22,msw,32310.0,MSW,0.1,3231.0
2012-05-23,msw,30250.0,MSW,0.1,3025.0
2012-05-24,msw,31680.0,MSW,0.1,3168.0
2012-05-25,msw,23510.0,MSW,0.1,2351.0
2012-05-26,msw,28700.0,MSW,0.1,2870.0
2012-05-27,msw,7690.0,MSW,0.1,769.0
2012-05-28,msw,30070.0,MSW,0.1,3007.0
2012-05-29,msw,28740.0,MSW,0.1,2874.0
2012-05-30,msw,29680.0,MSW,0.1,2968.0
2012-05-31,msw,37080.0,MSW,0.1,3708.0
2012-06-01,msw,25530.0,MSW,0.1,2553.0
2012-06-02,msw,22690.0,MSW,0.1,2269.0
2012-06-03,msw,28180.0,MSW,0.1,2818.0
